method,n,python_script,parse_ok,sandbox_success,runtime_calls,runtime_pa,runtime_ia,runtime_dr,runtime_pa_minus_dr,runtime_ia_minus_dr,pa_imports_calls,ia_imports_calls,dr_imports_calls
COPILOT-DLM,300,100.0,91.3,84.3,83.7,46.3,62.0,18.3,28.0,43.7,47.0,62.5,18.3
Plan+Direct,300,100.0,88.0,76.7,75.3,21.0,41.5,12.0,9.0,29.5,21.7,42.8,13.0
Plan+Template Anchor,300,100.0,92.7,81.0,80.7,43.7,58.5,15.0,28.7,43.5,45.0,59.5,15.3
zero_shot,300,100.0,98.3,92.3,92.3,19.7,43.2,53.3,-33.7,-10.2,20.3,44.0,54.0
grouped,300,99.7,91.7,84.7,83.0,18.7,40.3,41.0,-22.3,-0.7,19.3,41.5,42.7
step_wise,300,58.0,52.3,51.3,50.3,9.7,21.3,19.7,-10.0,1.7,9.7,21.5,19.7
constrained,300,100.0,98.0,91.0,90.0,19.0,42.0,49.7,-30.7,-7.7,19.7,43.3,51.0
